UnifiedImprovementType,ForecastMethodology,count,mean,std,min,25%,50%,75%,max
1,1,82.0,18.92594991307317,18.705978120793258,0.666666667,6.033017326,13.336877865,26.0562513225,93.37979094
1,2,6.0,9.668526026166667,7.002646076931312,0.346620451,4.0536023895,13.370076425,14.50396825,15.09433962
1,4,141.0,20.052165512312047,19.45181113133066,0.0,7.407407407000001,14.37308869,27.20848057,145.6140351
1,5,173.0,20.257175859502887,20.972023376585092,0.645374449,7.49235474,13.8576779,25.12903226,124.77744809999999
1,6,1190.0,15.25689088066304,15.295339947769444,0.0,4.2652239522499995,12.13021221,21.7865575875,146.46464650000001
2,5,1.0,192.29406550000002,,192.29406550000002,192.29406550000002,192.29406550000002,192.29406550000002,192.29406550000002
2,6,168.0,15.285473709875006,15.018507439372655,0.008982574,4.953786253,10.971332145,22.48352036,83.45105954
3,1,2281.0,37.49410287660627,35.978896654005815,0.0,11.06965174,27.63157895,52.11267606,196.29629630000002
3,2,1.0,16.99604743,,16.99604743,16.99604743,16.99604743,16.99604743,16.99604743
3,4,216.0,16.77166069356018,15.689880017333099,0.0,6.81629417075,13.544451875,22.2587719275,146.66666669999998
3,5,41.0,21.57897234019512,19.99471680524428,2.578796562,7.90335707,16.34241245,27.39726027,87.42072409
3,6,228.0,17.643101334578944,17.902457477256323,0.071172021,5.53345076225,12.689437425,24.118028602499997,169.899323
