FunctionalClass,ForecastMethodology,count,mean,std,min,25%,50%,75%,max
1,1,22.0,11.933930365318183,8.53285498047678,1.257861635,6.42413880425,9.645226813,15.18280255,34.44444444
1,4,17.0,9.257974502411765,11.45379668203762,0.35335689,3.225806452,5.1724137930000005,12.62135922,47.54098361
1,5,4.0,56.753387284999995,49.74862964985467,18.98734177,19.936708862499998,41.624379635,78.44105805749999,124.77744809999999
1,6,493.0,10.697350363006091,10.701827819586216,0.0,2.550678163,7.991038099999999,17.01452962,89.21461044
3,1,183.0,15.390224458218578,14.0277596548259,0.0,5.607966457,11.11111111,22.378716745,93.37979094
3,2,2.0,7.091976353,8.59381933348599,1.015228426,4.0536023895,7.091976353,10.1303503165,13.16872428
3,4,181.0,18.078672468187854,16.336573081420667,0.0,7.547169811,14.28571429,23.22404372,145.6140351
3,5,87.0,18.196305283528737,17.777446059593363,0.704225352,7.5276899749999995,13.35012594,21.74080939,90.04524887
3,6,532.0,17.219022433163545,15.851236812637817,0.0,5.1413595365,13.90736345,24.8115748725,169.899323
4,1,78.0,19.94506328080769,16.279075544060923,0.0,8.701298701,16.18181818,26.3196875825,91.78082192
4,2,3.0,14.493527666666665,0.8106994436327778,13.57142857,14.19312169,14.81481481,14.954577215,15.09433962
4,4,64.0,19.145875553234376,22.779954989189758,0.0,7.111171960749999,15.268065265,21.59090909,146.66666669999998
4,5,29.0,25.193936330000003,31.72358587418475,1.515151515,4.615384615,10.34482759,34.48275862,118.4615385
4,6,288.0,18.209165234767376,17.011684561622243,0.0,6.901020743,14.703908895,23.328930022500003,118.36228290000001
5,1,33.0,18.833404176424246,19.526687924513833,0.0,6.666666667,11.53846154,23.52941176,106.8965517
5,4,24.0,21.135020534916666,21.143723600321504,0.0,6.726539589249999,13.43243243,30.6202328425,85.86206897
5,6,253.0,18.610256672841896,19.583830531191396,0.0,6.109979632999999,13.75545852,24.75884244,146.46464650000001
6,1,7.0,23.778069067428568,19.264983229191056,2.222222222,6.340579709999999,26.95652174,36.535714285,51.51515152
6,4,1.0,44.68085106,,44.68085106,44.68085106,44.68085106,44.68085106,44.68085106
6,5,1.0,192.29406550000002,,192.29406550000002,192.29406550000002,192.29406550000002,192.29406550000002,192.29406550000002
6,6,14.0,19.717751412714282,10.360932469434982,4.277594975,9.72186944475,20.35619204,28.3872352775,34.97109827
7,1,1.0,46.66666667,,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667
8,1,2039.0,40.0228977864899,36.94755661363741,0.0,12.16552214,31.5,54.34782609,196.29629630000002
8,2,2.0,8.6713339405,11.772922719721155,0.346620451,4.50897719575,8.6713339405,12.83369068525,16.99604743
8,4,70.0,17.75930549224286,12.83680813901784,1.123595506,7.1459694984999995,14.774394715,26.882697045,46.26865672
8,5,94.0,19.6650322049468,15.551945898922321,0.645374449,8.36038961025,16.00393497,26.917930419999998,83.42142857
8,6,6.0,13.881687751166666,14.633199600068718,0.649350649,3.0153473039999996,9.203594672,21.3133640575,37.93103448
