BriefDescription,ProjectYear,InternalProjectID,ImprovementType,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,main_TrafficCounts.State,CounterID,FunctionalClass,AdjustedForecast,Error,AbsError,PercentError,AbsPE
,2006,2320,12,3,WI,No Tolls on 1+ lane,34000,2007,1,2006,1-State DOT,1,,58-6302-2320-,,58-22417-401399,2007,31500,401399,Wisconsin,58-22417-401399,3,34000,2500,2500,7.35,7.35
,2007,2467,12,3,WI,No Tolls on 1+ lane,30000,2011,1,2007,1-State DOT,1,,58-6303-2467-,,58-22419-404512,2011,22200,404512,Wisconsin,58-22419-404512,3,30000,7800,7800,26,26
,2007,2467,12,3,WI,No Tolls on 1+ lane,19000,2011,1,2007,1-State DOT,1,,58-6304-2467-,,58-22421-404513,2011,20100,404513,Wisconsin,58-22421-404513,3,19000,-1100,1100,-5.79,5.79
,2007,2467,12,3,WI,No Tolls on 1+ lane,21900,2011,1,2007,1-State DOT,1,,58-6305-2467-,,58-22423-404524,2011,18400,404524,Wisconsin,58-22423-404524,4,21900,3500,3500,15.98,15.98
,2006,2322,12,3,WI,No Tolls on 1+ lane,22700,2009,1,2006,1-State DOT,1,,58-6306-2322-,,58-22425-401843,2009,22600,401843,Wisconsin,58-22425-401843,3,22700,100,100,0.44,0.44
,2007,2467,12,3,WI,No Tolls on 1+ lane,2800,2011,1,2007,1-State DOT,1,,58-6307-2467-,,58-22427-404541,2011,2500,404541,Wisconsin,58-22427-404541,5,2800,300,300,10.71,10.71
,2007,2467,12,3,WI,No Tolls on 1+ lane,33500,2011,1,2007,1-State DOT,1,,58-6308-2467-,,58-22429-404545,2011,33500,404545,Wisconsin,58-22429-404545,3,33500,0,0,0,0
,2007,2467,12,3,WI,No Tolls on 1+ lane,1500,2011,1,2007,1-State DOT,1,,58-6309-2467-,,58-22431-404547,2011,2200,404547,Wisconsin,58-22431-404547,7,1500,-700,700,-46.67,46.67
,2007,2467,12,3,WI,No Tolls on 1+ lane,23800,2011,1,2007,1-State DOT,1,,58-6310-2467-,,58-22433-404548,2011,25400,404548,Wisconsin,58-22433-404548,3,23800,-1600,1600,-6.72,6.72
,2006,2373,12,1,WI,No Tolls on 1+ lane,8600,2008,1,2006,1-State DOT,1,,58-6311-2373-,,58-22435-510108,2008,6600,510108,Wisconsin,58-22435-510108,3,8600,2000,2000,23.26,23.26
,2006,2359,12,3,WI,No Tolls on 1+ lane,13600,2008,1,2006,1-State DOT,1,,58-6312-2359-,,58-22437-510817,2008,12300,510817,Wisconsin,58-22437-510817,3,13600,1300,1300,9.56,9.56
,2006,2217,12,3,WI,No Tolls on 1+ lane,6900,2008,1,2006,1-State DOT,1,,58-6313-2217-,,58-22439-510361,2008,6200,510361,Wisconsin,58-22439-510361,3,6900,700,700,10.14,10.14
,2008,2690,12,3,WI,No Tolls on 1+ lane,18500,2008,1,2008,1-State DOT,1,,58-6314-2690-,,58-22441-510501,2008,19600,510501,Wisconsin,58-22441-510501,3,18500,-1100,1100,-5.95,5.95
,2006,2359,12,3,WI,No Tolls on 1+ lane,7600,2008,1,2006,1-State DOT,1,,58-6315-2359-,,58-22443-511191,2008,8200,511191,Wisconsin,58-22443-511191,3,7600,-600,600,-7.89,7.89
,2006,2217,12,3,WI,No Tolls on 1+ lane,5600,2008,1,2006,1-State DOT,1,,58-6316-2217-,,58-22445-510362,2008,5200,510362,Wisconsin,58-22445-510362,3,5600,400,400,7.14,7.14
,2006,2359,12,3,WI,No Tolls on 1+ lane,7100,2008,1,2006,1-State DOT,1,,58-6317-2359-,,58-22447-510234,2008,7000,510234,Wisconsin,58-22447-510234,3,7100,100,100,1.41,1.41
,2006,2373,12,1,WI,No Tolls on 1+ lane,8800,2008,1,2006,1-State DOT,1,,58-6318-2373-,,58-22449-510862,2008,8800,510862,Wisconsin,58-22449-510862,3,8800,0,0,0,0
,2007,2545,12,3,WI,No Tolls on 1+ lane,2100,2008,1,2007,1-State DOT,1,,58-6319-2545-,,58-22451-300882,2008,2600,300882,Wisconsin,58-22451-300882,5,2100,-500,500,-23.81,23.81
