TrafficForecast,Volume,count,mean,std,min,25%,50%,75%,max,LowerLimit,UpperLimit
"(0, 10000]",0,1408,27.991145,32.10786017,0,7.701051155,17.42581091,35.79644664,195.9183673,26.58355576,29.39873424
,10000,1408,27.991145,32.10786017,0,7.701051155,17.42581091,35.79644664,195.9183673,26.58355576,29.39873424
"(10000, 20000]",10000,1091,27.87801576,31.62160799,0,8.066245856,17.64705882,36.581873,196.2962963,26.30317199,29.45285954
,20000,1091,27.87801576,31.62160799,0,8.066245856,17.64705882,36.581873,196.2962963,26.30317199,29.45285954
"(20000, 30000]",20000,752,31.70621856,33.01041679,0,9.636272858,21.22538293,42.62295082,192.5764192,29.72602342,33.68641369
,30000,752,31.70621856,33.01041679,0,9.636272858,21.22538293,42.62295082,192.5764192,29.72602342,33.68641369
"(30000, 40000]",30000,440,29.63417851,27.69308704,0,8.949836326,19.69135718,45.19447753,132.3943662,27.46242299,31.80593403
,40000,440,29.63417851,27.69308704,0,8.949836326,19.69135718,45.19447753,132.3943662,27.46242299,31.80593403
"(40000, 50000]",40000,304,25.63373015,24.10889536,0.002352443,7.10179796,17.64705882,36.14457831,96.3190184,23.35912288,27.90833742
,50000,304,25.63373015,24.10889536,0.002352443,7.10179796,17.64705882,36.14457831,96.3190184,23.35912288,27.90833742
"(50000, 60000]",50000,200,20.73288928,18.20387937,0,4.162844374,14.22982197,37.13883825,64.77272727,18.61543104,22.85034752
,60000,200,20.73288928,18.20387937,0,4.162844374,14.22982197,37.13883825,64.77272727,18.61543104,22.85034752
"(60000, 70000]",60000,91,14.9351746,18.8858632,0.004371585,2.23263971,9.814802283,20.74935129,124.7774481,11.67844242,18.19190679
,70000,91,14.9351746,18.8858632,0.004371585,2.23263971,9.814802283,20.74935129,124.7774481,11.67844242,18.19190679
"(70000, 80000]",70000,55,8.87416593,8.885316062,0.001599718,2.470558205,5.433287483,17.24137931,39.3557423,6.903298383,10.84503348
,80000,55,8.87416593,8.885316062,0.001599718,2.470558205,5.433287483,17.24137931,39.3557423,6.903298383,10.84503348
"(80000, 90000]",80000,44,12.80992976,8.861810626,0.00129234,5.37222857,12.53270355,19.33638444,30.71371291,10.61226204,15.00759748
,90000,44,12.80992976,8.861810626,0.00129234,5.37222857,12.53270355,19.33638444,30.71371291,10.61226204,15.00759748
"(90000, 100000]",90000,28,15.75889223,10.35085038,1.00769986,5.997480216,15.164477,25.06485084,35.42081325,12.54106356,18.97672091
,100000,28,15.75889223,10.35085038,1.00769986,5.997480216,15.164477,25.06485084,35.42081325,12.54106356,18.97672091
"(100000, 180000]",100000,109,12.79825308,13.08712669,0.004011071,4.338497118,9.78436373,17.02329857,66.27647715,10.73621368,14.86029249
,180000,109,12.79825308,13.08712669,0.004011071,4.338497118,9.78436373,17.02329857,66.27647715,10.73621368,14.86029249
