AverageForecast,count,mean,std,min,5%,50%,95%,max
"(0, 3000]",138.0,-0.5715914123695631,42.232664855250036,-85.86206897,-44.8229895085,-5.206338371999999,72.09197324350008,231.1258278
"(3000, 6000]",131.0,-1.9871790391908393,30.325788988402266,-63.91484943,-36.771597615,-5.573304934,56.1038961,118.3622829
"(6000, 9000]",116.0,-8.03895546015517,18.78256396586766,-48.4375,-35.42338627,-9.7694342775,25.3367955575,60.2739726
"(9000, 13000]",142.0,-3.015096293521125,24.223192116595552,-57.19884393,-31.4386827125,-6.740717683,39.046680897999984,123.7959184
"(13000, 17000]",140.0,-6.832119385471428,21.05629404869988,-83.42142857,-37.999618572500005,-7.302607398,30.319077094999994,50.82074852
"(17000, 22000]",116.0,-5.8116930331810375,25.761826041729087,-58.72093023,-42.42258308,-7.9635858165,40.2097902075,147.3684211
"(22000, 30000]",134.0,-4.885539551999997,26.318004076620955,-65.08498825,-40.0927472825,-7.624718153,45.67200217349993,93.37979094
"(30000, 40000]",121.0,-9.014269752545452,20.688289714054655,-86.64546057,-41.08761329,-9.470752089,15.4768177,65.64308682
"(40000, 60000]",143.0,-7.850906835321678,17.12702594759423,-77.56642512,-34.316831678999996,-7.510134414,20.315187770000037,54.41819773
"(60000, 717000]",116.0,-8.994304081767243,11.022328677533473,-47.72643292,-27.54702432,-7.967218063,7.27128950825,20.81395349
