,BriefDescription,ProjectYear,InternalProjectID,ImprovementType,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,main_TrafficCounts.State,CounterID,FunctionalClass,AdjustedForecast,Error,PercentError,AbsPE
7,,2007.0,2467,12.0,3.0,WI,No Tolls on 1+ lane,1500.0,2011,1,2007.0,1-State DOT,1,,58-6309-2467-,,58-22431-404547,2011,2200,404547.0,Wisconsin,58-22431-404547,7,1500.0,-700.0,-46.66666667,46.66666667
17,,2007.0,2545,12.0,3.0,WI,No Tolls on 1+ lane,2100.0,2008,1,2007.0,1-State DOT,1,,58-6319-2545-,,58-22451-300882,2008,2600,300882.0,Wisconsin,58-22451-300882,5,2100.0,-500.0,-23.80952381,23.80952381
33,,2007.0,2533,12.0,3.0,WI,No Tolls on 1+ lane,1800.0,2009,1,2007.0,1-State DOT,1,,58-6335-2533-,,58-22483-643773,2009,1600,643773.0,Wisconsin,58-22483-643773,8,1800.0,200.0,11.11111111,11.11111111
34,,2007.0,2533,12.0,3.0,WI,No Tolls on 1+ lane,1800.0,2009,1,2007.0,1-State DOT,1,,58-6336-2533-,,58-22485-640193,2009,2000,640193.0,Wisconsin,58-22485-640193,5,1800.0,-200.0,-11.11111111,11.11111111
36,,2007.0,2533,12.0,3.0,WI,No Tolls on 1+ lane,1500.0,2009,1,2007.0,1-State DOT,1,,58-6338-2533-,,58-22489-643774,2009,1600,643774.0,Wisconsin,58-22489-643774,8,1500.0,-100.0,-6.666666667,6.666666667
37,,2007.0,2533,12.0,3.0,WI,No Tolls on 1+ lane,790.0,2009,1,2007.0,1-State DOT,1,,58-6339-2533-,,58-22491-643771,2009,850,643771.0,Wisconsin,58-22491-643771,8,790.0,-60.0,-7.594936709,7.594936709
39,,2007.0,2533,12.0,3.0,WI,No Tolls on 1+ lane,1100.0,2009,1,2007.0,1-State DOT,1,,58-6341-2533-,,58-22495-643772,2009,1100,643772.0,Wisconsin,58-22495-643772,8,1100.0,0.0,0.0,0.0
45,,2007.0,2159,12.0,3.0,WI,No Tolls on 1+ lane,900.0,2011,1,2007.0,1-State DOT,1,,58-6347-2159-,,58-22507-30376,2011,1000,30376.0,Wisconsin,58-22507-30376,5,900.0,-100.0,-11.11111111,11.11111111
46,,2007.0,2159,12.0,3.0,WI,No Tolls on 1+ lane,630.0,2011,1,2007.0,1-State DOT,1,,58-6348-2159-,,58-22509-30375,2011,660,30375.0,Wisconsin,58-22509-30375,5,630.0,-30.0,-4.7619047619999995,4.7619047619999995
66,,2005.0,1929,12.0,3.0,WI,No Tolls on 1+ lane,2500.0,2009,1,2005.0,1-State DOT,4,,58-6368-1929-,,58-22549-51730,2009,1600,51730.0,Wisconsin,58-22549-51730,8,2500.0,900.0,36.0,36.0
