InternalProjectID,Rate
237506-2,125
237550-1,1150
237565-1,455
237567-1,745
237567-1,665
237576-1,1095
237592-1,660
237592-2,400
237592-2,410
237592-2,395
237629-1,550
237632-1,1055
237650-2,735
237650-2,580
237650-3,850
237965-1,320
411256-3,450
411256-4,440
411257-3,585
411257-4,395
411476-1,735
411603-1,940
411603-1A,1340
411603-1A,750
411612-1,230
411613-1,165
411613-1A,220
411613-1A,370
411614-1,375
411614-1,165
411660-1,570
411661-1,265
411662-1,200
411664-1,1210
411664-1,1000
411664-1,745
411664-1,690
418647-1,290
411666-1,220
411667-1,745
411672-1,550
411672-1,290
411672-1,520
411727-1,185.75
411727-1,537.25
411728-1,1465
411730-1,480
411742-1,130
411742-1,260
411742-1,360
411777-1,410
411777-1,385
411778-1,555
411781-1,155
411781-1,240
411782-1,650
411783-1,65
411787-1,300
411787-1,2125
411809-1,845
411809-1,910
411809-1,1075
411809-1,1355
411981-1,540.5
411983-1,480
411983-1,530
411985-1,185
238394-2,1225
238394-2,1865
238394-2,1155
238394-2A,625
238394-3,770
238394-4,985
238395-4,915
238395-5,1277.5
238422-1,700
238422-1,1030
238429-4,1760
238429-5,1675
238651-1,475
238677-1,480
238677-1,410
238720-1,245
238720-1,280
424899-1,160
424899-1,110
424886-1,360
424886-1,555
424885-1,405
424884-1,235
424883-1,260
424881-1,610
424881-1,650
424735-1,235
424524-1,147.5
424228-1,985
423630-1,380
423567-1,1170
426566-1,1065
423362-1,920
423362-2,470
423360-1,130
423359-1,690
423356-1,445
423356-1,395
423353-1,360
423352-1,770
423351-1,585
423350-1,565
423348-1,285
423347-1,1070
423346-1,297.5
423096-1,260
422708-1,460
422707-1,730
422707-1,635
422683-1,385
422683-1,235
422627-1,525
422567-1,565
422223-1,330
422033-1,1015
422032-1,615
422031-1,95
422030-2,250
422030-1,365
422028-1,225
422027-1,460
422027-1,425
422026-1,465
422024-2,170
422024-1,260
422023-1,140
422022-1,540
422020-1,315
422019-1,385
422018-1,600
422018-1,510
411742-1,130
411742-1,260
411742-1,360
422012-1,425
422011-1,470
422010-1,375
422009-1,795
422008-1,560
422005-1,220
422004-1,175
422004-1,115
422004-1,170
422004-1,135
422003-1,455
422002-1,425
422002-1,400
422001-1,560
421991-1,725
421990-1,180
421989-1,850
421988-1,400
421986-1,60
421981-1,865
421981-1,1375
421979-1,122.5
421978-1,175
421977-1,815
421976-1,450
421975-1,940
421974-1,715
421621-1,300
419595-1,970
419596-1,985
419593-1,770
419593-1,610
419592-1,285
419592-1,55
419591-1,785
419591-1,760
419589-1,415
419597-1A,445
419588-1,815
419588-2,920
419587-1,350
419587-2,450
419586-1,470
419585-1,445
419585-1,350
419584-1,405
419583-1,75
419582-1,1455
419582-1,895
419581-1,1725
419557-1,640
419557-1,685
419564-1,340
419563-1,750
419563-1,555
419563-1,515
419562-1,715
419561-1,675
419370-1,100
419367-1,475
418328-1,665
418328-1,775
418321-1,715
417158-1,200
417158-1,75
417380-1,260
417378-1,240
417247-1,222.5
417247-1,120
417165-1,440
417006-1,220
416935-1,100
416893-1,135
416798-1,230
416773-1,755
416753-1,590
416740-1,1410
416657-1,575
416518-1,230
416407-1,190
416221-1,135
416219-1,350
416194-1,675
416189-1,515
416188-1,960
416187-1,315
416153-1,450
415978-1,750
415977-1,325
415973-1,230
413596-1,315
413596-1,220
413596-1,190
413595-1,80
413594-1,2025
413592-1,650
413592-1,760
413590-1,891
413590-1,767
413589-1,735
413587-1,55
413586-1,130
413586-1,575
413585-1,830
413603-1,750
413603-1,445
413584-1,775
413583-1,375
413582-1,1155
413578-1,450
413578-1,550
413577-1,195
413576-1,520
413575-1,510
413574-1,450
413571-1,485
413571-1,170
413570-1,280
413473-1,125
412357-1,110
411997-1,510
411672-1,550
411672-1,290
411672-1,520
411993-1,430
411993-1,500
411116-1,730
411092-1,710
410983-1,1350
410983-1,1895
410983-1,2160
410777-1,265
410250-1,165
409870-1,675
409847-1,1270
409846-1,885
409180-1,345
409180-1,100
409180-1,100
409173-1,90
409173-1,190
409167-1,990
409167-1,1295
409166-1,700
409165-1,875
409165-1,360
409093-1,485
408905-1,265
408639-1,70
408638-1,845
406869-4,905
406869-6,1125
406869-6,1370
406869-6,1605
406869-3,1220
406869-5,1035
406869-5,820
405506-2,1540
405506-2,1405
405506-2,1445
404525-1,710
404525-1,915
404418-1,660
404418-1,715
242696-1,1420
242696-1,1255
242592-2,3375
241543-1,535
241211-1,140
241200-1,43
241043-1,42
241020-1,515
240992-5,275
240992-2,200
240992-2,255
240887-1,395
240373-1,202
416408-1,675
416939-1,2615
416939-1,2620
417141-1,75
417141-1,112.5
416187-1,1155
417153-1,175
417154-1,240
417154-1,225
