InternalProjectID,StationID,ForecastYear
237506-2,701007,2003
237550-1,700233,2004
237565-1,700348,2010
237567-1,705149,2007
237567-1,705206,2007
237576-1,700169,2007
237592-1,705064,2007
237592-2,705125,2015
237592-2,705064,2015
237592-2,700403,2015
237629-1,705027,2002
237632-1,705147,2004
237650-2,705131,2006
237650-2,705131,2006
237650-3,700345,2011
237965-1,735003,2006
411256-3,361009,2009
411256-4,361007,2011
411257-3,180002,2009
411257-4,180100,2010
411476-1,880165,2010
411603-1,111012,2006
411603-1A,111012,2006
411603-1A,111021,2006
411612-1,115176,2008
411613-1,110503,2006
411613-1A,110502,2006
411613-1A,110503,2006
411614-1,360479,2005
411614-1,360480,2005
411660-1,361012,2003
411661-1,360245,2003
411662-1,110502,2003
411664-1,700398,2004
411664-1,700399,2004
411664-1,700400,2004
411664-1,700400,2004
418647-1,705197,2010
411666-1,700150,2010
411667-1,700395,2005
411672-1,700408,2004
411672-1,700421,2004
411672-1,700423,2004
411727-1,755140,2005
411727-1,755044,2005
411728-1,750630,2005
411730-1,750444,2006
411742-1,770064,2009
411742-1,775051,2009
411742-1,770102,2009
411777-1,795081,2006
411777-1,795142,2006
411778-1,791001,2005
411781-1,795179,2009
411781-1,790436,2009
411782-1,795185,2006
411783-1,920058,2005
411787-1,,2004
411787-1,750587,2004
411809-1,790503,2006
411809-1,790503,2006
411809-1,790133,2006
411809-1,790492,2006
411981-1,110208,2005
411983-1,360481,2005
411983-1,360443,2005
411985-1,795121,2009
238394-2,115097,2010
238394-2,110109,2010
238394-2,115124,2010
238394-2A,115097,2010
238394-3,115093,2011
238394-4,110109,2011
238395-4,115178,2012
238395-5,111021,2007
238422-1,110310,2008
238422-1,110425,2008
238429-4,110390,2007
238429-5,750572,2007
238651-1,360222,2005
238677-1,360470,2009
238677-1,360471,2009
238720-1,360024,2015
238720-1,360030,2015
424899-1,755218,2012
424899-1,755211,2012
424886-1,700249,2011
424886-1,705027,2011
424885-1,360468,2012
424884-1,180204,2012
424883-1,180001,2011
424881-1,111017,2012
424881-1,115035,2012
424735-1,181001,2011
424524-1,180118,2012
424228-1,709919,2010
423630-1,705117,2011
423567-1,700322,2011
426566-1,189920,2011
423362-1,920105,2011
423362-2,920255,2011
423360-1,790004,2010
423359-1,770175,2010
423356-1,750521,2011
423356-1,750638,2011
423353-1,750565,2011
423352-1,700280,2011
423351-1,790412,2011
423350-1,700429,2010
423348-1,361002,2011
423347-1,115057,2010
423346-1,110319,2011
423096-1,111000,2014
422708-1,775050,2010
422707-1,775078,2011
422707-1,770271,2011
422683-1,795096,2012
422683-1,795099,2012
422627-1,790532,2013
422567-1,700080,2010
422223-1,750089,2011
422033-1,920300,2010
422032-1,790363,2011
422031-1,790421,2010
422030-2,111017,2012
422030-1,795128,2010
422028-1,790111,2010
422027-1,790514,2010
422027-1,790207,2010
422026-1,790080,2010
422024-2,790478,2013
422024-1,799925,2010
422023-1,790280,2010
422022-1,770040,2010
422020-1,790445,2010
422019-1,795159,2010
422018-1,795168,2010
422018-1,795159,2010
411742-1,770064,2009
411742-1,775051,2009
411742-1,770102,2009
