StationID,2002,2003,2004,2005
10001,33000,34000,35000,32500
10004,14400,18600,19400,25500
10007,40000,35500,39000,43500
10008,7500,8700,9900,9900
10010,15000,13900,15400,15200
10014,14395,,,
10015,11000,11500,12500,12500
10016,30500,25500,29500,33500
10019,15900,15400,17400,16300
10020,,16000,,
10021,17100,18100,18500,20500
10023,5900,5400,6300,6300
10029,13100,18900,17400,19600
10030,59500,57000,53500,60000
10032,28000,28000,31000,28500
10033,26000,28000,28000,27000
10034,47500,41000,44500,44000
10036,44500,46500,56000,60000
10037,45000,45500,48500,51500
10038,43000,41000,47500,49000
10040,35500,28000,32500,29000
10041,3300,3000,3000,4500
10042,29500,34500,32000,32500
10044,18000,21000,22000,22500
10045,22500,24500,25500,27500
10048,29500,28500,34000,34000
10049,32000,35500,38000,40500
10050,53000,55000,55500,58500
10051,21500,27000,26000,26500
10052,12900,17900,18600,19800
10228,19500,22176,25092,26164
10350,44477,44202,49605,51000
11000,19400,16700,17300,19500
15001,27000,29500,33000,33000
15015,19000,20500,22500,18900
15018,46000,46000,47500,49000
15023,19000,20000,21000,21500
15024,18800,18800,18200,18000
15025,10000,9400,11000,9500
15027,19000,17500,18500,20000
15036,9400,9900,10000,9000
15037,11000,12000,12000,11500
15038,13500,13500,13500,13000
15039,7600,7000,7400,6800
15042,56500,58500,64000,62000
17001,,,,1400
17002,,,,1300
17003,,,,2400
17004,,,,2200
17011,,,,2800
17012,,,,3100
17013,,,,7300
17014,,,,6900
17021,,,,3600
17022,,,,3800
17023,,,,6900
17024,,,,7000
17031,,,,3400
17032,,,,3600
17033,,,,1000
17034,,,,950
17041,,,,6100
17042,,,,6400
17043,,,,4300
17044,,,,4200
19917,14256,15000,16554,17000
20004,19600,21000,19100,21000
20005,21500,31000,18500,32500
20006,32000,32000,33000,30500
20011,24000,26000,19800,38500
20018,6100,6500,6800,6600
20020,16800,17100,17100,17900
20025,21000,23000,29000,30500
20043,9400,10200,12600,11600
20044,16835,16943,17282,18070
20073,11100,11500,11500,11400
20084,25500,28000,28000,32000
20114,17000,17300,17400,19100
20116,7400,9900,10300,10700
20200,11300,12200,11200,11800
20238,16400,17900,17800,17800
20250,8900,9100,6900,10100
20259,,,42000,27500
20324,20357,21089,21837,22586
21000,9900,9700,10000,9300
21002,16000,16300,,
21004,24000,,,
21006,18100,,,
21007,6800,7100,6900,7700
21008,9900,10400,11600,11400
21009,16200,,,
22030,,,25000,25000
25001,23000,24000,25000,24000
25007,,,37500,37000
25008,14300,14600,14100,15300
25010,,,43000,28000
25011,,27000,28000,30000
25012,26000,,,
25015,30000,28500,29000,28000
25018,,22500,38000,20800
25019,32500,32000,31500,33500
25022,,11700,17600,26000
25023,,28500,30000,30500
25024,,25000,27000,26000
25025,,27500,29000,27500
25026,,31500,32500,33500
30001,8600,10400,10300,11400
30002,8700,8600,9800,8900
30003,53000,53000,56500,56000
30005,4900,4500,5000,4700
30006,1900,2400,2000,1750
30012,47000,47000,51000,50500
30014,25000,26000,27000,29000
30015,31500,36500,36500,40000
30017,45500,44000,48000,47500
30018,55000,53500,52000,58500
30022,3000,2300,2600,2800
30023,49500,47500,51000,39000
30024,56500,46000,44500,44500
30029,13700,12800,12500,13600
30031,1200,1150,1300,1150
30038,16100,17200,15800,17600
30094,40258,41463,44055,45229
30104,3100,3400,2900,3100
30111,3900,4800,4200,3600
30123,38000,38500,40500,42500
30124,58000,58500,60500,61000
30143,11926,12435,13336,14332
30157,29000,35000,35000,33000
30160,51000,52500,53000,57000
30170,13500,13400,14300,14400
30173,15600,18700,20400,18500
30175,43000,47500,49000,48500
30176,30000,28500,30500,29500
