AverageForecast,count,mean,std,min,5%,50%,95%,max
"(0, 3000]",133.0,24.58934085384962,34.21570654308607,0.0,0.2118548572,12.91946309,84.71272056199999,227.6024741
"(3000, 6000]",141.0,20.65957017829078,21.47137905853897,0.0,0.824783845,14.04494382,55.84415584,118.36228290000001
"(6000, 9000]",125.0,16.746673417584006,15.206293821924845,0.0,0.9976624594,12.41150403,46.258205082,91.86765152
"(9000, 13000]",145.0,15.58809808522069,13.301730220146098,0.0,1.0885234108,12.56229593,40.12968550199998,80.37238169
"(13000, 17000]",143.0,17.40814546060141,14.157623759413204,0.028280543,0.8973829311000002,15.02590674,41.490132993,83.42142857
"(17000, 22000]",113.0,17.97556291115044,18.84261814123409,0.005099699,2.3126012220000005,12.39143023,51.887749009999965,147.36842109999998
"(22000, 30000]",133.0,19.544667303774435,17.035847353849487,0.025844245,1.2003686962000002,14.28571429,59.453114517999964,93.37979094
"(30000, 40000]",116.0,16.170638741534482,15.049913688115977,0.31578947399999996,1.5008223685,12.464689265,46.9728017925,86.64546057
"(40000, 60000]",136.0,13.23925655802206,12.750453207680495,0.003121001,0.336691681,10.494658965,35.485612245,77.56642512
"(60000, 200000]",102.0,10.835774934392163,9.367858747008796,0.00129234,0.10731861170000005,9.5420729445,27.16811817149997,47.72643292
