BriefDescription,Length_miles,FunctionalClass,ImprovementType,State,InternalProjectID,main_ProjectInformation_ProjectID,County,TollType,ForecastYear,TrafficForecast,ForecastYearType,YearForecastProduced,ForecastMethodology,SegmentDescription,main_TrafficForecast_ProjectID,SegmentID,Year_ofObservation,Count,DiffYear
,,,,,75086,,,1,2008,28897.5,1,2002,6,,,,2008,28740,0
,,,,,25377,,,1,2003,11540,1,2002,6,,,,2003,11000,0
,,,,,25377,,,1,2003,10740,1,2002,6,,,,2003,11670,0
,,,,,25377,,,1,2004,1037.5,1,2002,6,,,,2004,1440,0
,,,,,16964,,,1,2003,62530,1,2002,6,,,,2003,67020,0
,,,,,22788,,,1,2003,46460,1,2002,6,,,,2003,34920,0
,,,,,20996,,,1,2010,23498,1,2002,6,,,,2010,17970,0
,,,,,21582,,,1,2005,6598.333333,1,2002,6,,,,2005,6090,0
,,,,,24316,,,1,2009,7630,1,2002,6,,,,2009,6470,0
,,,,,24316,,,1,2009,12755,1,2002,6,,,,2009,10150,0
,,,,,24316,,,1,2009,8950,1,2002,6,,,,2009,6910,0
,,,,,23569,,,1,2009,6360,1,2002,6,,,,2009,6200,0
,,,,,23569,,,1,2009,9902.5,1,2002,6,,,,2009,6510,0
,,,,,22398,,,1,2009,17677.5,1,2002,6,,,,2009,12330,0
,,,,,22398,,,1,2009,18700,1,2002,6,,,,2009,13320,0
,,,,,24316,,,1,2009,6037.5,1,2002,6,,,,2009,4140,0
,,,,,22666,,,1,2004,2280,1,2002,6,,,,2004,1720,0
,,,,,24316,,,1,2009,4652.5,1,2002,6,,,,2009,3540,0
,,,,,24316,,,1,2009,9662.5,1,2002,6,,,,2009,4390,0
,,,,,23569,,,1,2009,3582.5,1,2002,6,,,,2009,3810,0
,,,,,22398,,,1,2009,1490,1,2002,6,,,,2009,1690,0
,,,,,22398,,,1,2009,2077.5,1,2002,6,,,,2009,2040,0
,,,,,23174,,,1,2009,4682.5,1,2002,6,,,,2009,2630,0
,,,,,23174,,,1,2009,3617.5,1,2002,6,,,,2009,2670,0
,,,,,23174,,,1,2009,3700,1,2002,6,,,,2009,1310,0
,,,,,23174,,,1,2009,3105,1,2002,6,,,,2009,1310,0
,,,,,21453,,,1,2005,26633.33333,1,2002,6,,,,2005,20800,0
,,,,,21453,,,1,2005,17875,1,2002,6,,,,2005,16210,0
,,,,,21938,,,1,2007,18842.5,1,2002,6,,,,2007,15060,0
,,,,,21938,,,1,2007,13466.5,1,2002,6,,,,2007,11830,0
,,,,,22232,,,1,2005,21859,1,2002,6,,,,2005,17890,0
,,,,,22232,,,1,2005,12046,1,2002,6,,,,2005,10320,0
,,,,,22232,,,1,2005,16043.5,1,2002,6,,,,2005,13800,0
,,,,,20996,,,1,2010,23498,1,2003,6,,,,2010,17970,0
,,,,,24738,,,1,2004,9160,1,2003,6,,,,2004,9320,0
,,,,,24738,,,1,2004,1070,1,2003,6,,,,2004,1360,0
,,,,,25154,,,1,2009,65265,1,2003,6,,,,2009,66090,0
