,PID,YearForecastMade,ForecastMethod,OpeningYear,OYADTForecast,DesignYear,DYADTForecast,Notes,NearActualOpenYear,NearOpenYrCount,RecentYr,RecentYrCnt,ActualOpeningYear,TollType,FunctionalClass,Methodology,AreaType,ImpromentType,State,diffPOY_NAOY,diffPOY_RY,diffAOY_RY,diffPOY_AOY,diffAOY_NAOY,Year,ActualCount,AdjustedForecast
0,75086,2002,RC,2003.0,27070.0,2023,34380.0,,2002.0,26700.0,2008.0,28740.0,2003.0,1,1.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2008.0,28740.0,28897.5
1,25377,2002,MR,2003.0,11540.0,2023,18800.0,,2003.0,11000.0,2010.0,11210.0,2003.0,1,3.0,6,1.0,12,41,0.0,7.0,-7.0,0.0,0.0,2003.0,11000.0,11540.0
2,25377,2002,MR,2003.0,10740.0,2023,17690.0,,2003.0,11670.0,2010.0,10810.0,2003.0,1,3.0,6,1.0,12,41,0.0,7.0,-7.0,0.0,0.0,2003.0,11670.0,10740.0
3,25377,2002,MR,2003.0,1020.0,2023,1370.0,,2004.0,1440.0,2010.0,1690.0,2003.0,1,5.0,6,1.0,12,41,-1.0,7.0,-7.0,0.0,-1.0,2004.0,1440.0,1037.5
4,16964,2002,MR,2003.0,62530.0,2023,83390.0,,2003.0,67020.0,2009.0,66090.0,2002.0,1,1.0,6,1.0,12,41,0.0,6.0,-7.0,1.0,-1.0,2003.0,67020.0,62530.0
5,22788,2002,UNK,2003.0,46460.0,2023,55790.0,,2003.0,34920.0,2009.0,34230.0,2002.0,1,1.0,6,1.0,12,41,0.0,6.0,-7.0,1.0,-1.0,2003.0,34920.0,46460.0
6,20996,2002,RC,2004.0,20540.0,2024,30400.0,,2003.0,18640.0,2010.0,17970.0,2004.0,1,1.0,6,1.0,12,41,1.0,6.0,-6.0,0.0,1.0,2010.0,17970.0,23498.0
7,21582,2002,UNK,2004.0,6550.0,2016,7130.0,,2005.0,6090.0,2008.0,7550.0,2004.0,1,3.0,6,1.0,1,41,-1.0,4.0,-4.0,0.0,-1.0,2005.0,6090.0,6598.333333333333
8,24316,2002,UNK,2004.0,7280.0,2024,8680.0,,2003.0,6890.0,2009.0,6470.0,2004.0,1,3.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2009.0,6470.0,7630.0
9,24316,2002,UNK,2004.0,12170.0,2024,14510.0,,2003.0,10410.0,2009.0,10150.0,2004.0,1,3.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2009.0,10150.0,12755.0
10,24316,2002,UNK,2004.0,8540.0,2024,10180.0,,2003.0,8020.0,2009.0,6910.0,2004.0,1,3.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2009.0,6910.0,8950.0
11,23569,2002,RC,2004.0,6070.0,2024,7230.0,,2003.0,8430.0,2009.0,6200.0,2004.0,1,3.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0,6200.0,6360.0
12,23569,2002,RC,2004.0,9430.0,2024,11320.0,,2003.0,10790.0,2009.0,6510.0,2004.0,1,3.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0,6510.0,9902.5
13,22398,2002,RC,2004.0,16370.0,2024,21600.0,,2003.0,14800.0,2009.0,12330.0,2004.0,1,3.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0,12330.0,17677.5
14,22398,2002,RC,2004.0,17410.0,2024,22570.0,,2003.0,15690.0,2009.0,13320.0,2004.0,1,3.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0,13320.0,18700.0
15,24316,2002,UNK,2004.0,5760.0,2024,6870.0,,2003.0,4120.0,2009.0,4140.0,2004.0,1,4.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2009.0,4140.0,6037.5
16,22666,2002,UNK,2004.0,2280.0,2024,2720.0,,2004.0,1720.0,2010.0,1530.0,2004.0,1,5.0,6,1.0,1,41,0.0,6.0,-6.0,0.0,0.0,2004.0,1720.0,2280.0
17,24316,2002,UNK,2004.0,4440.0,2024,5290.0,,2003.0,4360.0,2009.0,3540.0,2004.0,1,5.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2009.0,3540.0,4652.5
18,24316,2002,UNK,2004.0,9450.0,2024,10300.0,,2003.0,5490.0,2009.0,4390.0,2004.0,1,5.0,6,1.0,1,41,1.0,5.0,-5.0,0.0,1.0,2009.0,4390.0,9662.5
19,23569,2002,RC,2004.0,3400.0,2024,4130.0,,2003.0,4860.0,2009.0,3810.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0,3810.0,3582.5
20,22398,2002,RC,2004.0,1350.0,2024,1910.0,,2003.0,1500.0,2009.0,1690.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0,1690.0,1490.0
21,22398,2002,RC,2004.0,1890.0,2024,2640.0,,2003.0,1750.0,2009.0,2040.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0,2040.0,2077.5
22,23174,2002,RC,2004.0,4260.0,2024,5950.0,,2003.0,2760.0,2009.0,2630.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0,2630.0,4682.5
23,23174,2002,RC,2004.0,3290.0,2024,4600.0,,2003.0,2930.0,2009.0,2670.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0,2670.0,3617.5
24,23174,2002,RC,2004.0,3370.0,2024,4690.0,,2003.0,1270.0,2009.0,1310.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0,1310.0,3700.0
25,23174,2002,RC,2004.0,2830.0,2024,3930.0,,2003.0,1270.0,2009.0,1310.0,2004.0,1,5.0,6,1.0,12,41,1.0,5.0,-5.0,0.0,1.0,2009.0,1310.0,3105.0
26,21453,2002,UNK,2004.0,26400.0,2016,29200.0,,2005.0,20800.0,2007.0,23310.0,2004.0,1,1.0,6,1.0,1,41,-1.0,3.0,-3.0,0.0,-1.0,2005.0,20800.0,26633.333333333332
27,21453,2002,UNK,2004.0,17700.0,2016,19800.0,,2005.0,16210.0,2007.0,16980.0,2004.0,1,1.0,6,1.0,1,41,-1.0,3.0,-3.0,0.0,-1.0,2005.0,16210.0,17875.0
28,21938,2002,UNK,2004.0,17980.0,2024,23730.0,,2003.0,13000.0,2007.0,15060.0,2004.0,1,3.0,6,1.0,1,41,1.0,3.0,-3.0,0.0,1.0,2007.0,15060.0,18842.5
29,21938,2002,UNK,2004.0,12790.0,2024,17300.0,,2003.0,11820.0,2007.0,11830.0,2004.0,1,3.0,6,1.0,1,41,1.0,3.0,-3.0,0.0,1.0,2007.0,11830.0,13466.5
