BriefDescription,ProjectYear,InternalProjectID,ImprovementType,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,State,CounterID,FunctionalClass,DiffYear,AdjustedForecast,Error,AbsError,PercentError,AbsPE,FunctionalClassName,MethodologyName,AreaTypeName,UnemploymentRate_ForecastYear,UnemploymentRate_YearProduced,UnemploymentRate_OpeningYear
,2006,2320,12,3,WI,No Tolls on 1+ lane,34000,2007,1,2006,1,1,,58-6302-2320-,,58-22417-401399,2007,31500,401399,58,58-22417-401399,3,1,34000,-2500,2500,-7.352941176,7.352941176,Principle Arterial,Traffic Count Trend,Urban,4.9,4.7,4.9
,2007,2467,12,3,WI,No Tolls on 1+ lane,30000,2011,1,2007,1,1,,58-6303-2467-,,58-22419-404512,2011,22200,404512,58,58-22419-404512,3,4,30000,-7800,7800,-26,26,Principle Arterial,Traffic Count Trend,Urban,7.8,4.9,7.8
,2007,2467,12,3,WI,No Tolls on 1+ lane,19000,2011,1,2007,1,1,,58-6304-2467-,,58-22421-404513,2011,20100,404513,58,58-22421-404513,3,4,19000,1100,1100,5.789473684,5.789473684,Principle Arterial,Traffic Count Trend,Urban,7.8,4.9,7.8
,2007,2467,12,3,WI,No Tolls on 1+ lane,21900,2011,1,2007,1,1,,58-6305-2467-,,58-22423-404524,2011,18400,404524,58,58-22423-404524,4,4,21900,-3500,3500,-15.98173516,15.98173516,Minor Arterial,Traffic Count Trend,Urban,7.8,4.9,7.8
,2006,2322,12,3,WI,No Tolls on 1+ lane,22700,2009,1,2006,1,1,,58-6306-2322-,,58-22425-401843,2009,22600,401843,58,58-22425-401843,3,3,22700,-100,100,-0.440528634,0.440528634,Principle Arterial,Traffic Count Trend,Urban,8.6,4.7,8.6
,2007,2467,12,3,WI,No Tolls on 1+ lane,2800,2011,1,2007,1,1,,58-6307-2467-,,58-22427-404541,2011,2500,404541,58,58-22427-404541,5,4,2800,-300,300,-10.71428571,10.71428571,Major Collector,Traffic Count Trend,Urban,7.8,4.9,7.8
,2007,2467,12,3,WI,No Tolls on 1+ lane,33500,2011,1,2007,1,1,,58-6308-2467-,,58-22429-404545,2011,33500,404545,58,58-22429-404545,3,4,33500,0,0,0,0,Principle Arterial,Traffic Count Trend,Urban,7.8,4.9,7.8
,2007,2467,12,3,WI,No Tolls on 1+ lane,1500,2011,1,2007,1,1,,58-6309-2467-,,58-22431-404547,2011,2200,404547,58,58-22431-404547,7,4,1500,700,700,46.66666667,46.66666667,Local,Traffic Count Trend,Urban,7.8,4.9,7.8
,2007,2467,12,3,WI,No Tolls on 1+ lane,23800,2011,1,2007,1,1,,58-6310-2467-,,58-22433-404548,2011,25400,404548,58,58-22433-404548,3,4,23800,1600,1600,6.722689076,6.722689076,Principle Arterial,Traffic Count Trend,Urban,7.8,4.9,7.8
,2006,2373,12,1,WI,No Tolls on 1+ lane,8600,2008,1,2006,1,1,,58-6311-2373-,,58-22435-510108,2008,6600,510108,58,58-22435-510108,3,2,8600,-2000,2000,-23.25581395,23.25581395,Principle Arterial,Traffic Count Trend,Rural,4.9,4.7,4.9
,2006,2359,12,3,WI,No Tolls on 1+ lane,13600,2008,1,2006,1,1,,58-6312-2359-,,58-22437-510817,2008,12300,510817,58,58-22437-510817,3,2,13600,-1300,1300,-9.558823529,9.558823529,Principle Arterial,Traffic Count Trend,Urban,4.9,4.7,4.9
,2006,2217,12,3,WI,No Tolls on 1+ lane,6900,2008,1,2006,1,1,,58-6313-2217-,,58-22439-510361,2008,6200,510361,58,58-22439-510361,3,2,6900,-700,700,-10.14492754,10.14492754,Principle Arterial,Traffic Count Trend,Urban,4.9,4.7,4.9
,2008,2690,12,3,WI,No Tolls on 1+ lane,18500,2008,1,2008,1,1,,58-6314-2690-,,58-22441-510501,2008,19600,510501,58,58-22441-510501,3,0,18500,1100,1100,5.945945946,5.945945946,Principle Arterial,Traffic Count Trend,Urban,4.9,4.9,4.9
